source,url,label
openphish,http://paypal-login-account.example-phish.com/login-account?id=0&next=account,1
phishtank,http://microsoft-login-account.example-phish.com/login-account?session=100001&continue=login,1
openphish,http://apple-login-account.example-phish.com/login-account,1
phishtank,http://amazon-login-account.example-phish.com/login-account?id=3&next=account,1
openphish,http://netflix-login-account.example-phish.com/login-account?session=100004&continue=login,1
phishtank,http://bank-login-account.example-phish.com/login-account,1
openphish,http://wallet-login-account.example-phish.com/login-account?id=6&next=account,1
phishtank,http://crypto-login-account.example-phish.com/login-account?session=100007&continue=login,1
openphish,http://office365-login-account.example-phish.com/login-account,1
phishtank,http://gmail-login-account.example-phish.com/login-account?id=9&next=account,1
openphish,http://outlook-login-account.example-phish.com/login-account?session=100010&continue=login,1
phishtank,http://dhl-login-account.example-phish.com/login-account,1
openphish,http://fedex-login-account.example-phish.com/login-account?id=12&next=account,1
phishtank,http://steam-login-account.example-phish.com/login-account?session=100013&continue=login,1
openphish,http://facebook-login-account.example-phish.com/login-account,1
phishtank,http://instagram-login-account.example-phish.com/login-account?id=15&next=account,1
openphish,http://whatsapp-login-account.example-phish.com/login-account?session=100016&continue=login,1
phishtank,http://telegram-login-account.example-phish.com/login-account,1
openphish,http://discord-login-account.example-phish.com/login-account?id=18&next=account,1
phishtank,http://github-login-account.example-phish.com/login-account?session=100019&continue=login,1
openphish,http://dropbox-login-account.example-phish.com/login-account,1
phishtank,http://adobe-login-account.example-phish.com/login-account?id=21&next=account,1
openphish,http://coinbase-login-account.example-phish.com/login-account?session=100022&continue=login,1
phishtank,http://binance-login-account.example-phish.com/login-account,1
openphish,http://kraken-login-account.example-phish.com/login-account?id=24&next=account,1
phishtank,http://stripe-login-account.example-phish.com/login-account?session=100025&continue=login,1
openphish,http://visa-login-account.example-phish.com/login-account,1
phishtank,http://mastercard-login-account.example-phish.com/login-account?id=27&next=account,1
openphish,http://airbnb-login-account.example-phish.com/login-account?session=100028&continue=login,1
phishtank,http://booking-login-account.example-phish.com/login-account,1
openphish,http://paypal-verify-account.example-phish.com/verify-account?id=30&next=account,1
phishtank,http://microsoft-verify-account.example-phish.com/verify-account?session=100031&continue=verify,1
openphish,http://apple-verify-account.example-phish.com/verify-account,1
phishtank,http://amazon-verify-account.example-phish.com/verify-account?id=33&next=account,1
openphish,http://netflix-verify-account.example-phish.com/verify-account?session=100034&continue=verify,1
phishtank,http://bank-verify-account.example-phish.com/verify-account,1
openphish,http://wallet-verify-account.example-phish.com/verify-account?id=36&next=account,1
phishtank,http://crypto-verify-account.example-phish.com/verify-account?session=100037&continue=verify,1
openphish,http://office365-verify-account.example-phish.com/verify-account,1
phishtank,http://gmail-verify-account.example-phish.com/verify-account?id=39&next=account,1
openphish,http://outlook-verify-account.example-phish.com/verify-account?session=100040&continue=verify,1
phishtank,http://dhl-verify-account.example-phish.com/verify-account,1
openphish,http://fedex-verify-account.example-phish.com/verify-account?id=42&next=account,1
phishtank,http://steam-verify-account.example-phish.com/verify-account?session=100043&continue=verify,1
openphish,http://facebook-verify-account.example-phish.com/verify-account,1
phishtank,http://instagram-verify-account.example-phish.com/verify-account?id=45&next=account,1
openphish,http://whatsapp-verify-account.example-phish.com/verify-account?session=100046&continue=verify,1
phishtank,http://telegram-verify-account.example-phish.com/verify-account,1
openphish,http://discord-verify-account.example-phish.com/verify-account?id=48&next=account,1
phishtank,http://github-verify-account.example-phish.com/verify-account?session=100049&continue=verify,1
openphish,http://dropbox-verify-account.example-phish.com/verify-account,1
phishtank,http://adobe-verify-account.example-phish.com/verify-account?id=51&next=account,1
openphish,http://coinbase-verify-account.example-phish.com/verify-account?session=100052&continue=verify,1
phishtank,http://binance-verify-account.example-phish.com/verify-account,1
openphish,http://kraken-verify-account.example-phish.com/verify-account?id=54&next=account,1
phishtank,http://stripe-verify-account.example-phish.com/verify-account?session=100055&continue=verify,1
openphish,http://visa-verify-account.example-phish.com/verify-account,1
phishtank,http://mastercard-verify-account.example-phish.com/verify-account?id=57&next=account,1
openphish,http://airbnb-verify-account.example-phish.com/verify-account?session=100058&continue=verify,1
phishtank,http://booking-verify-account.example-phish.com/verify-account,1
openphish,http://paypal-confirm-account.example-phish.com/confirm-account?id=60&next=account,1
phishtank,http://microsoft-confirm-account.example-phish.com/confirm-account?session=100061&continue=confirm,1
openphish,http://apple-confirm-account.example-phish.com/confirm-account,1
phishtank,http://amazon-confirm-account.example-phish.com/confirm-account?id=63&next=account,1
openphish,http://netflix-confirm-account.example-phish.com/confirm-account?session=100064&continue=confirm,1
phishtank,http://bank-confirm-account.example-phish.com/confirm-account,1
openphish,http://wallet-confirm-account.example-phish.com/confirm-account?id=66&next=account,1
phishtank,http://crypto-confirm-account.example-phish.com/confirm-account?session=100067&continue=confirm,1
openphish,http://office365-confirm-account.example-phish.com/confirm-account,1
phishtank,http://gmail-confirm-account.example-phish.com/confirm-account?id=69&next=account,1
openphish,http://outlook-confirm-account.example-phish.com/confirm-account?session=100070&continue=confirm,1
phishtank,http://dhl-confirm-account.example-phish.com/confirm-account,1
openphish,http://fedex-confirm-account.example-phish.com/confirm-account?id=72&next=account,1
phishtank,http://steam-confirm-account.example-phish.com/confirm-account?session=100073&continue=confirm,1
openphish,http://facebook-confirm-account.example-phish.com/confirm-account,1
phishtank,http://instagram-confirm-account.example-phish.com/confirm-account?id=75&next=account,1
openphish,http://whatsapp-confirm-account.example-phish.com/confirm-account?session=100076&continue=confirm,1
phishtank,http://telegram-confirm-account.example-phish.com/confirm-account,1
openphish,http://discord-confirm-account.example-phish.com/confirm-account?id=78&next=account,1
