feature,abs_correlation,random_forest_importance,mutual_information
domain_length,0.8529618709872254,0.24038170837728035,0.6880281892025255
num_hyphens,0.7329534299239422,0.20351096633224328,0.6941403195654064
url_length,0.8102677953522569,0.13529220986452567,0.5291561088876813
suspicious_keyword_count,0.8419925577644783,0.11753623302345952,0.5379796500973992
has_login_keyword,0.7518906554073321,0.06914239535468343,0.36130982487943974
brand_similarity_score,0.4822046605451169,0.06732567563682568,0.6874493806237645
num_special_chars,0.5413654331082518,0.059338423137004465,0.45619681387081656
path_length,0.4437013170025851,0.044562200811403295,0.49903754956830415
num_digits,0.4615556050288937,0.021943500223050215,0.2841878510522733
num_slashes,0.37869746259340814,0.014645199605403508,0.09333840960684614
has_verify_keyword,0.3623047094379714,0.00815817214963755,0.08776096372259223
has_query_string,0.0011167464695111546,0.004332693488166509,0.0045821682035211975
has_password_keyword,0.24249005131867793,0.0034287590217456053,0.04345365245101096
has_confirm_keyword,0.22018295752539074,0.002718975745013373,0.03070293255667056
has_account_keyword,0.24249005131867807,0.0025738894387815608,0.04114459706357976
has_secure_keyword,0.21850768938115908,0.0017391309686462034,0.03168049018251429
has_signin_keyword,0.22073907179464045,0.0014979093612877922,0.029197292810343223
has_update_keyword,0.22069633433813013,0.0007834534795454768,0.03269351594996861
has_bank_keyword,0.18591264109583988,0.0004697490183047523,0.018391727286928283
subdomain_count,0.11140354546925217,0.00028745173998654587,0.014190443810016662
num_dots,0.11140354546925217,0.0002275999353161027,0.01564186829026859
is_shortened_like,0.0645610284934496,0.00010361251878738294,0.004074672069609431
looks_like_brand_typo,0.004124507239119424,9.076890176569454e-08,0.0
has_ip_address,0.0,0.0,0.004393312832135621
has_at_symbol,0.0,0.0,0.0032396128887013376
has_whois_info,0.0,0.0,0.002684218180934561
expiration_date_exists,0.0,0.0,0.0021066878035871373
domain_age_days,0.0,0.0,0.0018539812736662054
num_forms,0.0,0.0,0.001400946302731576
has_js_redirect,0.0,0.0,0.0011948934558481117
num_external_links,0.0,0.0,0.0010165075143082625
creation_date_exists,0.0,0.0,0.0006233327833313762
registration_length_days,0.0,0.0,0.0005716773349122573
num_internal_links,0.0,0.0,0.00036679973357434115
num_input_fields,0.0,0.0,0.0002582793375027759
registrar_available,0.0,0.0,0.0
domain_expiry_days,0.0,0.0,0.0
has_password_field,0.0,0.0,0.0
has_iframe,0.0,0.0,0.0
num_scripts,0.0,0.0,0.0
title_exists,0.0,0.0,0.0
favicon_exists,0.0,0.0,0.0
suspicious_form_action,0.0,0.0,0.0
empty_form_action,0.0,0.0,0.0
mailto_usage,0.0,0.0,0.0
